tool_name,test_suite_cnt,selection_cnt,time_to_initialize,time_to_select_tests,time_to_fault_ratio,fault_to_selection_ratio,diversity
random_selector,192,96,0.23967909812927246,0.06781148910522461,217.3093562523524,0.1875,0.04462595710756656
random_selector,192,91,0.24550294876098633,0.06824517250061035,211.8513348698616,0.1875,0.0312649972883473
random_selector,192,95,0.23354768753051758,0.06805276870727539,279.2997827447694,0.15104166666666666,0.03444952294398616
random_selector,192,94,0.24064922332763672,0.07059478759765625,245.59506436437368,0.16666666666666666,0.04481481070790419
random_selector,192,118,0.22947955131530762,0.06961822509765625,225.0922459225322,0.22395833333333334,0.03985659291484209
random_selector,192,85,0.23099517822265625,0.06829690933227539,228.16372372258095,0.16145833333333334,0.04295314594828501
random_selector,192,82,0.23414874076843262,0.0679018497467041,247.82855876002992,0.14583333333333334,0.04430827596435222
random_selector,192,93,0.23162126541137695,0.06633305549621582,253.17275416466498,0.16145833333333334,0.04503339484744137
random_selector,192,95,0.23251128196716309,0.06676554679870605,258.7814900800586,0.16666666666666666,0.03956506960786334
random_selector,192,90,0.23377537727355957,0.06664705276489258,243.6052102504238,0.16145833333333334,0.029817001832066665
random_selector,192,93,0.23874568939208984,0.06819725036621094,291.2479030149324,0.14583333333333334,0.04334104984114344
random_selector,192,95,0.23221588134765625,0.06867337226867676,222.97489311354502,0.18229166666666666,0.029646684078175205
random_selector,192,96,0.239365816116333,0.0708303451538086,315.0441945570487,0.140625,0.038855923396141995
random_selector,192,93,0.23571252822875977,0.06885075569152832,266.1759791533152,0.15625,0.03688826482420463
random_selector,192,91,0.22997713088989258,0.064788818359375,239.63612382113934,0.16666666666666666,0.03680458243002459
random_selector,192,77,0.23154473304748535,0.06670737266540527,259.6957412052154,0.13020833333333334,0.04149683431501805
random_selector,192,104,0.23642873764038086,0.07224369049072266,267.37460438644183,0.17708333333333334,0.03823963983466048
random_selector,192,104,0.23192834854125977,0.06991410255432129,251.8798371553421,0.1875,0.03921278560224235
random_selector,192,95,0.23090291023254395,0.06759142875671387,292.1541404042925,0.14583333333333334,0.03694391569470961
random_selector,192,86,0.23175525665283203,0.06617426872253418,273.2817334069146,0.140625,0.040399050686925335
random_selector,192,98,0.22848796844482422,0.06792235374450684,266.9635553583503,0.16666666666666666,0.041282844751246925
random_selector,192,88,0.22734975814819336,0.06670308113098145,267.78375795909335,0.14583333333333334,0.028334950973398946
random_selector,192,88,0.2308483123779297,0.0670015811920166,237.72672978788614,0.16666666666666666,0.038666460187328694
random_selector,192,95,0.23135781288146973,0.06914186477661133,279.399950448672,0.15625,0.041393373343326795
random_selector,192,96,0.23484563827514648,0.06869721412658691,281.1211593389511,0.15625,0.03505600822623148
random_selector,192,91,0.231248140335083,0.06618261337280273,254.63531466453307,0.16145833333333334,0.028729235104800792
random_selector,192,96,0.23202037811279297,0.06751132011413574,299.8688886165619,0.14583333333333334,0.038223889617019204
random_selector,192,97,0.22875404357910156,0.0677032470703125,264.8262722417712,0.16666666666666666,0.02958198739189445
random_selector,192,97,0.23360228538513184,0.0689246654510498,323.82437818138686,0.140625,0.027724939435003836
random_selector,192,90,0.231337308883667,0.06852173805236816,280.01516551441614,0.140625,0.028210214367944828
random_selector,192,107,0.23853182792663574,0.06939244270324707,272.61782396540923,0.17708333333333334,0.03819740007298516
random_selector,192,98,0.23044538497924805,0.0665590763092041,322.23263105639705,0.140625,0.043810543057693836
random_selector,192,103,0.23789691925048828,0.0687093734741211,294.31350931326546,0.15625,0.02831801844705552
random_selector,192,92,0.22962379455566406,0.0669100284576416,233.52659372127417,0.171875,0.038089680735898836
random_selector,192,101,0.2408902645111084,0.06951141357421875,331.7310926296093,0.140625,0.03796755071951785
random_selector,192,86,0.23192095756530762,0.06820821762084961,229.54307439178228,0.16666666666666666,0.029934504837131518
random_selector,192,88,0.23044347763061523,0.06601738929748535,210.2956897128712,0.171875,0.04301007647852592
random_selector,192,109,0.22935962677001953,0.06741952896118164,253.206067999204,0.1875,0.038957730170680605
random_selector,192,101,0.23683524131774902,0.06988811492919922,272.76162192225456,0.16666666666666666,0.03716987392799812
random_selector,192,106,0.2287275791168213,0.06994748115539551,277.52420850233597,0.171875,0.04560405713016979
