tool_name,test_suite_cnt,selection_cnt,time_to_initialize,time_to_select_tests,time_to_fault_ratio,fault_to_selection_ratio,diversity
dtw_distance_selector,192,33,0.22735214233398438,5.658818244934082,495.5846871137619,0.03125,0.048506680706801766
dtw_distance_selector,192,70,0.22782683372497559,6.0316853523254395,309.0481963396072,0.10416666666666667,0.043993781573698466
dtw_distance_selector,192,70,0.23979759216308594,6.296837329864502,279.98308268047515,0.109375,0.044593712861051675
dtw_distance_selector,192,70,0.29251909255981445,7.352593421936035,254.61245567902276,0.11979166666666667,0.04491681483219646
dtw_distance_selector,192,70,0.24091291427612305,6.985331058502197,328.04367445574866,0.09375,0.04264922775251159
dtw_distance_selector,192,70,0.28670525550842285,6.516177654266357,280.715258771723,0.11458333333333333,0.04098183924316435
dtw_distance_selector,192,70,0.2372298240661621,5.774032831192017,283.45924550836736,0.11458333333333333,0.044790419843124187
dtw_distance_selector,192,70,0.23714733123779297,5.9302978515625,429.407556278365,0.07291666666666667,0.04487947537268092
dtw_distance_selector,192,70,0.24343228340148926,5.6651611328125,295.6315339406331,0.109375,0.044928900614279364
dtw_distance_selector,192,70,0.23846912384033203,5.662606239318848,289.32478166710246,0.11458333333333333,0.03858829108717214
dtw_distance_selector,192,70,0.24328923225402832,5.649611473083496,357.5396399050951,0.08333333333333333,0.043758483452835194
dtw_distance_selector,192,70,0.23430085182189941,5.652339220046997,198.43237352371216,0.15104166666666666,0.04104574832685961
dtw_distance_selector,192,70,0.22809553146362305,5.671568155288696,289.40022358440217,0.109375,0.035695059429667754
dtw_distance_selector,192,70,0.23020625114440918,5.6454503536224365,343.57969147629206,0.09375,0.04477108856930119
dtw_distance_selector,192,70,0.22640442848205566,5.638792514801025,332.5630366139942,0.09375,0.04723246295494813
dtw_distance_selector,192,70,0.23410248756408691,5.660972356796265,291.07806389672413,0.109375,0.03918428424269319
dtw_distance_selector,192,70,0.22646784782409668,5.658598899841309,248.91385714530944,0.13020833333333334,0.03746774970908542
dtw_distance_selector,192,70,0.22973942756652832,5.789332151412964,278.0438771898096,0.11458333333333333,0.037125427826572736
dtw_distance_selector,192,70,0.23296260833740234,5.669150114059448,291.58479198955354,0.109375,0.04222125231921993
dtw_distance_selector,192,70,0.23343634605407715,5.7098634243011475,236.44523758689562,0.125,0.04253528117839079
dtw_distance_selector,192,70,0.2250380516052246,5.717286109924316,277.6570949450783,0.11979166666666667,0.041051836596735426
dtw_distance_selector,192,70,0.22773098945617676,5.703380107879639,322.0371472710057,0.09895833333333333,0.04242823433301752
dtw_distance_selector,192,70,0.2331526279449463,5.678962469100952,311.0708830714226,0.10416666666666667,0.04226808911466155
dtw_distance_selector,192,70,0.22909069061279297,5.6714465618133545,290.6860516298385,0.109375,0.04163712923808008
dtw_distance_selector,192,70,0.23007631301879883,5.724498987197876,291.58518884295506,0.109375,0.04648172799942792
dtw_distance_selector,192,70,0.22712278366088867,5.68135929107666,242.04342969258627,0.125,0.04480524243790376
dtw_distance_selector,192,70,0.22769403457641602,5.6675145626068115,244.4381252527237,0.125,0.045466835574406346
dtw_distance_selector,192,70,0.22864770889282227,5.695846796035767,258.1222498850389,0.11458333333333333,0.0430259295512006
dtw_distance_selector,192,70,0.23066115379333496,5.669721603393555,374.41064252572903,0.08854166666666667,0.04472029874143898
dtw_distance_selector,192,70,0.23250913619995117,5.657101631164551,248.74436275855354,0.11979166666666667,0.04179256692641055
dtw_distance_selector,192,70,0.22592568397521973,5.656677007675171,194.926273671786,0.15625,0.04290143797893242
dtw_distance_selector,192,70,0.23189735412597656,5.65895676612854,378.4906430384692,0.08854166666666667,0.04349990228274606
dtw_distance_selector,192,70,0.23026704788208008,5.920341491699219,295.2185516834259,0.10416666666666667,0.043380691841221584
dtw_distance_selector,192,70,0.2501237392425537,5.839856147766113,243.9139725168546,0.125,0.045355557526475944
dtw_distance_selector,192,70,0.23376798629760742,5.791525363922119,241.40137821435928,0.125,0.04397856553420785
dtw_distance_selector,192,70,0.23870515823364258,5.654698133468628,244.67687000274657,0.13020833333333334,0.03937772173825283
dtw_distance_selector,192,70,0.23081660270690918,5.730636119842529,226.25951846746298,0.13541666666666666,0.04495629777079559
dtw_distance_selector,192,70,0.22935152053833008,5.742774248123169,319.5223294810245,0.09895833333333333,0.040019083295798834
dtw_distance_selector,192,70,0.2287445068359375,5.752338886260986,229.18180660247802,0.13020833333333334,0.04765674833905011
dtw_distance_selector,192,70,0.2414865493774414,5.6978373527526855,269.7591125098142,0.11458333333333333,0.0413180657402942
dtw_distance_selector,192,70,0.23486852645874023,5.6758856773376465,281.20552363178945,0.11458333333333333,0.04280116120098731
